,magnitude,dmin,latitude,longitude
157,7.2,1.504,-0.5858,128.034
158,6.6,2.978,-18.2242,120.358
159,6.9,1.205,0.5126,126.189
160,7.1,0.04616,35.7695,-117.599
161,7.3,2.629,-6.4078,129.169
162,7.3,1.402,-30.6441,-178.1
163,6.6,1.193,13.1994,-89.3056
164,8.0,3.18,-5.8119,-75.2697
165,7.6,0.453,-4.051,152.597
166,7.1,2.514,-6.9746,146.449
167,6.8,0.791,-1.8146,122.58
168,6.5,7.568,-58.6262,-25.304
169,7.0,2.501,-14.7131,-70.1546
170,7.5,2.045,-2.1862,-77.0505
171,6.7,0.289,14.6802,-92.4527
172,6.7,7.527,-43.1219,42.3568
173,6.7,0.173,-30.0404,-71.3815
174,6.6,7.818,-13.336,166.875
175,6.6,1.596,2.258,126.758
176,6.8,1.181,-8.144,-71.587
177,7.0,1.769,5.8983,126.921
178,7.3,4.126,55.0999,164.699
179,7.1,7.043,-58.5446,-26.3856
180,6.6,2.679,-22.0629,169.733
181,7.5,2.405,-21.9496,169.427
182,7.1,0.0,61.3464,-149.955
183,6.8,2.879,-17.8735,-178.927
184,6.7,7.853,71.6312,-11.2431
185,6.8,2.268,37.5203,20.5565
186,6.5,1.692,49.297,-129.724
187,6.8,1.505,49.3346,-129.289
188,6.5,1.611,49.2586,-129.412
189,6.5,2.109,-21.7427,169.522
190,6.7,2.705,52.8549,153.243
191,6.5,3.923,49.2902,156.297
192,7.0,1.778,-5.7012,151.205
193,6.7,3.745,-18.3604,-178.063
194,7.5,1.649,-0.2559,119.846
195,6.5,5.139,-25.415,178.199
196,6.9,2.785,-31.7447,-179.373
197,6.5,1.638,-10.0207,161.503
198,7.9,1.431,-18.4743,179.35
199,6.6,1.13,42.6861,141.929
200,7.1,2.548,-22.0295,170.126
201,7.1,3.77,-11.0355,-70.8284
202,6.5,4.797,-16.0315,168.143
203,7.3,1.822,10.7731,-62.9019
204,6.9,2.453,-8.319,116.627
205,8.2,3.63,-18.1125,-178.153
206,6.5,2.719,-7.3718,119.802
207,6.5,0.576,51.4234,-178.026
208,6.9,2.271,-8.2581,116.438
209,6.9,0.11,19.3182,-155.0
210,6.8,5.32,-20.6588,-63.0058
211,6.9,1.487,-5.5321,151.5
212,6.7,1.507,-5.5024,151.402
213,6.8,1.049,-4.3762,153.2
214,6.7,5.457,-6.3043,142.612
215,7.5,5.48,-6.0699,142.754
216,7.2,0.142,16.3855,-97.9787
217,7.9,2.585,56.0039,-149.166
218,7.1,4.29,-15.7675,-74.7092
219,7.5,4.581,17.4825,-83.52
220,6.5,2.365,-7.4921,108.174
221,6.5,17.654,-54.2189,2.1628
222,7.0,0.617,-21.3246,168.671
223,6.6,0.529,-21.5027,168.598
224,6.5,0.225,9.5147,-84.4865
225,7.3,0.284,34.9109,45.9592
226,6.5,4.449,-4.2433,143.485
227,6.8,4.852,-15.3197,-173.168
228,6.6,0.788,-21.6484,168.859
229,6.7,1.062,-21.6971,169.148
230,6.7,1.634,-7.2168,123.074
231,6.5,1.154,52.3909,176.769
232,7.1,0.984,18.5499,-98.4887
233,8.2,0.944,15.0222,-93.8993
234,6.5,11.411,33.1926,103.855
235,6.6,0.913,36.9293,27.4139
236,7.7,3.564,54.4434,168.857
237,6.6,3.773,-49.4837,164.016
238,6.5,4.139,11.1269,124.629
239,6.8,1.065,13.7174,-90.9718
240,6.9,0.247,14.9091,-92.0092
241,6.8,2.308,54.0312,170.92
242,6.6,2.353,-1.2923,120.431
243,6.5,6.489,-56.414,-25.7432
244,6.8,7.495,-14.5884,167.377
245,6.9,1.636,5.5043,125.066
246,6.9,0.356,-33.0375,-72.0617
247,6.5,2.36,-22.6784,25.1558
248,6.6,4.591,56.9401,162.786
249,6.9,6.012,-23.2593,-178.804
250,6.5,4.242,-19.2814,-63.9047
251,6.5,2.822,9.9071,125.452
252,7.9,3.625,-6.2464,155.172
253,6.5,1.64,-10.3506,161.335
254,7.3,3.813,4.4782,122.617
255,6.9,2.495,-19.3733,176.052
256,7.6,0.355,-43.4064,-73.9413
257,6.7,3.38,-7.5082,127.921
258,7.9,1.389,-4.5049,153.522
259,6.9,1.747,-10.749,161.132
260,6.5,1.937,-10.8416,161.314
261,7.8,1.836,-10.6812,161.327
262,6.6,1.405,40.4535,-126.194
263,6.5,0.778,5.2834,96.1678
264,6.6,1.697,39.2732,73.9776
265,6.9,1.796,11.9097,-88.8968
266,6.9,0.671,37.3931,141.387
267,6.5,0.283,-42.6058,173.254
268,6.5,0.135,-42.3205,173.669
269,7.8,0.481,-42.7373,173.054
270,6.6,0.174,42.8621,13.0961
271,6.6,2.022,-4.8626,108.163
272,6.8,3.727,-6.0033,148.887
273,6.9,4.051,-19.7819,-178.244
274,7.0,0.698,-37.3586,179.146
275,6.8,0.803,-3.6849,152.792
276,6.8,1.802,20.9228,94.569
277,7.2,4.823,-22.4765,173.117
278,7.7,3.294,18.5429,145.507
279,6.6,2.435,-2.0967,100.665
280,7.2,5.803,-56.2409,-26.9353
281,6.9,5.485,-21.9724,-178.204
282,6.9,1.192,0.4947,-79.616
283,6.7,1.352,0.4261,-79.7899
284,7.0,0.616,-16.0429,167.379
285,7.8,1.44,0.3819,-79.9218
286,7.0,0.349,32.7906,130.754
287,6.9,3.001,23.0944,94.8654
288,6.6,0.789,36.4725,71.1311
289,6.7,6.787,-13.9805,166.594
290,6.7,6.697,-14.0683,166.624
291,6.9,1.166,-14.3235,166.855
292,7.8,7.009,-4.9521,94.3299
293,7.2,0.958,53.9776,158.546
294,7.1,0.0,59.6204,-153.339
295,6.6,2.413,18.8239,-106.934
296,6.7,0.281,41.9723,142.781
297,6.5,3.144,3.8965,126.862
298,6.7,1.794,24.8036,93.6505
299,6.6,0.41,15.8015,-93.633
300,6.9,2.979,-4.1064,129.508
301,7.2,1.116,38.2107,72.7797
302,6.7,2.033,-9.1825,-71.2574
303,7.6,2.852,-10.0598,-71.0184
304,7.6,3.287,-10.5372,-70.9437
305,6.8,1.599,-8.8994,158.422
306,6.5,0.0,38.67,20.6
307,6.7,1.444,31.0009,128.873
308,6.9,0.821,-29.5097,-72.0585
309,6.9,0.784,-29.5067,-72.0068
310,6.6,2.792,6.8431,94.648
311,6.8,0.258,-30.8796,-71.4519
312,6.5,1.53,-8.3381,124.875
313,7.5,0.622,36.5244,70.3676
314,7.1,0.592,-14.8595,167.303
315,6.6,2.486,-0.6212,131.262
316,6.6,1.064,-31.7275,-71.3792
317,6.7,0.853,-31.5173,-71.804
318,6.5,0.749,-31.4244,-71.6876
